"Activity" "Subject" "Type" "Coordinate" "mean" "std"
"WALKING" 1 "fBodyAcc" "X" -0.531895161258213 -0.553060616663401
"WALKING" 1 "fBodyAcc" "Y" -0.406435448904438 -0.390150939647061
"WALKING" 1 "fBodyAcc" "Z" -0.596411165253602 -0.498583091676081
"WALKING" 1 "fBodyAccJerk" "X" -0.547348892435764 -0.543979776127867
"WALKING" 1 "fBodyAccJerk" "Y" -0.507343617969859 -0.466251676533372
"WALKING" 1 "fBodyAccJerk" "Z" -0.695305113832853 -0.737861932680115
"WALKING" 1 "fBodyAccJerkMag" NA -0.499075765624092 -0.541823079570029
"WALKING" 1 "fBodyAccMag" NA -0.478448523354179 -0.589710231217867
"WALKING" 1 "fBodyGyro" "X" -0.623219182311527 -0.708263420861671
"WALKING" 1 "fBodyGyro" "Y" -0.505309434070029 -0.429825832648703
"WALKING" 1 "fBodyGyro" "Z" -0.553529065425648 -0.650476162132565
"WALKING" 1 "fBodyGyroJerkMag" NA -0.645970655298847 -0.685811262634006
"WALKING" 1 "fBodyGyroMag" NA -0.535002770337752 -0.566576670397695
"WALKING" 1 "tBodyAcc" "X" 0.265696920582133 -0.545795331328326
"WALKING" 1 "tBodyAcc" "Y" -0.0182981725176081 -0.367716218227378
"WALKING" 1 "tBodyAcc" "Z" -0.10784573454611 -0.502645746562824
"WALKING" 1 "tBodyAccJerk" "X" 0.0770930495126801 -0.524721922818732
"WALKING" 1 "tBodyAccJerk" "Y" 0.0165908438802305 -0.470412403511239
"WALKING" 1 "tBodyAccJerk" "Z" -0.00910758730117003 -0.717322274881844
"WALKING" 1 "tBodyAccJerkMag" NA -0.545431612066571 -0.515922167555159
"WALKING" 1 "tBodyAccMag" NA -0.453632943768818 -0.497096402038329
"WALKING" 1 "tBodyGyro" "X" -0.0208764064320173 -0.686555715201729
"WALKING" 1 "tBodyGyro" "Y" -0.0880722729400576 -0.450979810499568
"WALKING" 1 "tBodyGyro" "Z" 0.0862641666597983 -0.597496136795101
"WALKING" 1 "tBodyGyroJerk" "X" -0.0971120197265994 -0.637812687210375
"WALKING" 1 "tBodyGyroJerk" "Y" -0.0417164808293948 -0.634472244550432
"WALKING" 1 "tBodyGyroJerk" "Z" -0.0471393985477522 -0.664591977786455
"WALKING" 1 "tBodyGyroJerkMag" NA -0.639517432642651 -0.652050770910663
"WALKING" 1 "tBodyGyroMag" NA -0.475404785802305 -0.499839593745821
"WALKING" 1 "tGravityAcc" "X" 0.744867411573487 -0.959859435936599
"WALKING" 1 "tGravityAcc" "Y" -0.0825562579855908 -0.951150627458213
"WALKING" 1 "tGravityAcc" "Z" 0.072339870389049 -0.925817590867435
"WALKING" 1 "tGravityAccMag" NA -0.453632943768818 -0.497096402038329
"WALKING" 3 "fBodyAcc" "X" -0.625733289873607 -0.623805015199413
"WALKING" 3 "fBodyAcc" "Y" -0.501779938505279 -0.502753639795894
"WALKING" 3 "fBodyAcc" "Z" -0.699656828592375 -0.657443765803519
"WALKING" 3 "fBodyAccJerk" "X" -0.645893496630499 -0.657844055881525
"WALKING" 3 "fBodyAccJerk" "Y" -0.582949919157742 -0.559851186088408
"WALKING" 3 "fBodyAccJerk" "Z" -0.780101644193548 -0.81080601659824
"WALKING" 3 "fBodyAccJerkMag" NA -0.604752108072727 -0.615643694857361
"WALKING" 3 "fBodyAccMag" NA -0.579076453758064 -0.663079838985044
"WALKING" 3 "fBodyGyro" "X" -0.642097719778592 -0.719276622702346
"WALKING" 3 "fBodyGyro" "Y" -0.775144985073314 -0.758505287214076
"WALKING" 3 "fBodyGyro" "Z" -0.670734708996481 -0.751008875659824
"WALKING" 3 "fBodyGyroJerkMag" NA -0.810085498651026 -0.810032718739003
"WALKING" 3 "fBodyGyroMag" NA -0.716822144279179 -0.703839403007038
"WALKING" 3 "tBodyAcc" "X" 0.273428719636364 -0.623413602046921
"WALKING" 3 "tBodyAcc" "Y" -0.017856067384956 -0.480015920697654
